#fida	fidb	identity
f768	f769	78.10
f770	f771	88.90
f772	f773	96.50
f774	f775	68.30
f776	f777	90.80
f778	f779	88.00
f780	f781	94.90
f782	f783	66.70
f784	f785	73.60
f786	f787	90.80
f788	f789	96.50
f790	f791	68.30
f792	f793	95.20
f794	f795	78.10
f796	f797	74.30
f798	f799	97.10
f800	f801	96.50
f802	f803	68.30
f804	f805	92.40
f806	f807	76.20
f808	f809	74.70
f810	f811	82.10
f812	f813	92.50
f814	f815	84.30
f816	f817	86.20
f818	f819	85.80
f820	f821	77.30
f822	f823	82.60
f824	f825	86.00
f826	f827	87.60
f828	f829	83.70
f830	f831	81.30
f832	f833	82.50
f834	f835	78.90
f836	f837	85.90
f838	f839	78.50
f840	f841	84.00
f842	f843	89.60
f844	f845	82.50
f846	f847	78.20
f848	f849	93.10
f850	f851	90.50
f852	f853	89.20
f854	f855	93.00
f856	f857	78.20
f858	f859	92.90
f860	f861	78.20
f862	f863	92.70
f864	f865	77.30
f866	f867	90.50
f868	f869	93.10
f870	f871	93.00
f872	f873	78.20
f874	f875	90.90
f876	f877	94.90
f878	f879	88.00
f880	f881	61.40
f882	f883	59.80
f884	f885	87.80
f886	f887	94.90
f888	f889	75.60
f890	f891	89.70
f892	f893	69.90
f894	f895	89.30
f896	f897	86.10
f898	f899	92.30
f900	f901	78.10
f902	f903	85.70
f904	f905	56.80
f906	f907	91.10
f908	f909	69.90
f910	f911	89.70
f912	f913	94.90
f914	f915	72.20
f916	f917	70.80
f918	f919	79.20
f920	f921	88.00
f922	f923	78.10
f924	f925	98.60
f926	f927	89.70
f928	f929	69.90
f930	f931	89.30
f932	f933	89.40
f934	f935	78.10
f936	f937	98.50
f938	f939	86.10
f940	f941	92.30
f942	f943	91.10
f944	f945	69.90
f946	f947	89.70
f948	f949	91.20
f950	f951	87.20
f952	f953	92.40
f954	f955	61.50
f956	f957	60.60
f958	f959	78.70
f960	f961	92.20
f962	f963	97.40
f964	f965	89.80
f966	f967	70.80
f968	f969	70.80
f970	f971	87.50
f972	f973	97.40
f974	f975	91.80
f976	f977	94.90
f978	f979	95.40
f980	f981	79.10
f982	f983	87.90
f984	f985	88.20
f986	f987	95.10
f988	f989	77.60
f990	f991	72.30
f992	f993	78.10
f994	f995	77.60
f996	f997	89.70
f998	f999	87.90
f1000	f1001	94.90
f1002	f1003	98.30
f1004	f1005	87.90
f1006	f1007	88.20
f1008	f1009	77.60
f1010	f1011	78.10
f1012	f1013	98.30
f1014	f1015	77.60
f1016	f1017	95.10
f1018	f1019	89.70
f1020	f1021	87.90
f1022	f1023	100.00
f1024	f1025	61.70
f1026	f1027	61.70
f1028	f1029	87.80
f1030	f1031	94.90
f1032	f1033	77.90
f1034	f1035	91.40
f1036	f1037	75.40
f1038	f1039	75.40
f1040	f1041	91.40
f1042	f1043	89.10
f1044	f1045	78.10
f1046	f1047	94.90
f1048	f1049	95.10
f1050	f1051	77.90
f1052	f1053	78.10
f1054	f1055	87.80
f1056	f1057	95.10
f1058	f1059	89.10
f1060	f1061	75.40
f1062	f1063	75.40
f1064	f1065	91.40
f1066	f1067	91.40
f1068	f1069	94.90
f1070	f1071	72.20
f1072	f1073	72.20
f1074	f1075	79.40
f1076	f1077	91.70
f1078	f1079	100.00
f1080	f1081	91.40
f1082	f1083	75.40
f1084	f1085	75.40
f1086	f1087	91.40
f1088	f1089	87.50
f1090	f1091	95.10
f1092	f1093	100.00
f1094	f1095	78.10
f1096	f1097	100.00
f1098	f1099	95.10
f1100	f1101	94.90
f1102	f1103	78.10
f1104	f1105	90.60
f1106	f1107	75.40
f1108	f1109	75.40
f1110	f1111	91.40
f1112	f1113	91.40
f1114	f1115	78.00
f1116	f1117	83.50
f1118	f1119	79.90
f1120	f1121	69.30
f1122	f1123	84.90
f1124	f1125	74.40
f1126	f1127	85.20
f1128	f1129	85.20
f1130	f1131	84.80
f1132	f1133	77.90
f1134	f1135	87.60
f1136	f1137	92.10
f1138	f1139	96.50
f1140	f1141	90.20
f1142	f1143	75.30
f1144	f1145	74.20
f1146	f1147	96.50
f1148	f1149	95.30
f1150	f1151	88.20
f1152	f1153	79.30
f1154	f1155	91.70
f1156	f1157	78.00
f1158	f1159	85.40
f1160	f1161	83.70
f1162	f1163	83.90
f1164	f1165	83.90
f1166	f1167	87.30
f1168	f1169	84.20
f1170	f1171	86.40
f1172	f1173	76.10
f1174	f1175	83.10
f1176	f1177	74.30
f1178	f1179	60.50
f1180	f1181	82.80
f1182	f1183	85.10
f1184	f1185	92.10
f1186	f1187	96.50
f1188	f1189	79.70
f1190	f1191	79.30
f1192	f1193	75.30
f1194	f1195	90.20
f1196	f1197	95.30
f1198	f1199	88.20
f1200	f1201	79.30
f1202	f1203	91.70
f1204	f1205	77.00
f1206	f1207	76.10
f1208	f1209	79.30
f1210	f1211	77.80
f1212	f1213	82.60
f1214	f1215	78.30
f1216	f1217	79.40
f1218	f1219	85.00
f1220	f1221	78.50
f1222	f1223	95.70
f1224	f1225	76.80
f1226	f1227	72.70
f1228	f1229	77.50
f1230	f1231	95.70
f1232	f1233	87.50
f1234	f1235	91.90
f1236	f1237	89.10
f1238	f1239	82.00
f1240	f1241	81.20
f1242	f1243	86.50
f1244	f1245	82.50
f1246	f1247	86.80
f1248	f1249	81.00
f1250	f1251	90.00
f1252	f1253	78.70
f1254	f1255	91.40
f1256	f1257	95.70
f1258	f1259	75.40
f1260	f1261	77.50
f1262	f1263	95.70
f1264	f1265	87.50
f1266	f1267	91.90
f1268	f1269	89.10
f1270	f1271	85.70
f1272	f1273	85.70
f1274	f1275	84.80
f1276	f1277	83.60
f1278	f1279	86.90
f1280	f1281	83.50
f1282	f1283	90.00
f1284	f1285	82.00
f1286	f1287	88.30
f1288	f1289	84.70
f1290	f1291	84.40
f1292	f1293	90.50
f1294	f1295	91.50
f1296	f1297	98.00
f1298	f1299	76.40
f1300	f1301	77.70
f1302	f1303	98.00
f1304	f1305	96.30
f1306	f1307	90.40
f1308	f1309	83.90
f1310	f1311	92.60
f1312	f1313	85.40
f1314	f1315	88.50
f1316	f1317	84.70
f1318	f1319	86.70
f1320	f1321	88.90
f1322	f1323	86.50
f1324	f1325	85.70
f1326	f1327	90.00
f1328	f1329	89.90
f1330	f1331	84.50
f1332	f1333	68.60
f1334	f1335	62.00
f1336	f1337	85.10
f1338	f1339	94.30
f1340	f1341	91.50
f1342	f1343	98.00
f1344	f1345	78.20
f1346	f1347	79.20
f1348	f1349	78.10
f1350	f1351	79.80
f1352	f1353	77.70
f1354	f1355	98.00
f1356	f1357	96.30
f1358	f1359	84.70
f1360	f1361	94.90
f1362	f1363	90.40
f1364	f1365	83.90
f1366	f1367	92.60
f1368	f1369	79.20
f1370	f1371	80.90
f1372	f1373	77.90
f1374	f1375	77.10
f1376	f1377	86.30
f1378	f1379	83.80
f1380	f1381	85.90
f1382	f1383	81.60
f1384	f1385	85.60
f1386	f1387	82.20
f1388	f1389	81.10
f1390	f1391	80.90
f1392	f1393	85.30
f1394	f1395	81.40
f1396	f1397	84.10
f1398	f1399	87.50
f1400	f1401	74.90
f1402	f1403	90.00
f1404	f1405	82.40
f1406	f1407	78.90
f1408	f1409	85.00
f1410	f1411	87.00
f1412	f1413	82.20
f1414	f1415	71.40
f1416	f1417	60.80
f1418	f1419	82.20
f1420	f1421	100.00
f1422	f1423	87.20
f1424	f1425	90.80
f1426	f1427	97.40
f1428	f1429	77.40
f1430	f1431	78.40
f1432	f1433	97.40
f1434	f1435	94.40
f1436	f1437	89.10
f1438	f1439	79.00
f1440	f1441	91.20
f1442	f1443	93.50
f1444	f1445	90.80
f1446	f1447	97.40
f1448	f1449	73.20
f1450	f1451	73.00
f1452	f1453	74.90
f1454	f1455	76.80
f1456	f1457	78.40
f1458	f1459	97.40
f1460	f1461	94.40
f1462	f1463	97.60
f1464	f1465	89.10
f1466	f1467	79.00
f1468	f1469	91.20
f1470	f1471	84.30
f1472	f1473	93.40
f1474	f1475	81.40
f1476	f1477	84.90
f1478	f1479	85.20
f1480	f1481	88.50
f1482	f1483	84.30
f1484	f1485	86.50
f1486	f1487	87.30
f1488	f1489	76.00
f1490	f1491	89.30
f1492	f1493	92.20
f1494	f1495	97.30
f1496	f1497	77.40
f1498	f1499	78.50
f1500	f1501	97.30
f1502	f1503	96.30
f1504	f1505	88.90
f1506	f1507	80.40
f1508	f1509	92.00
f1510	f1511	88.50
f1512	f1513	87.30
f1514	f1515	83.20
f1516	f1517	85.50
f1518	f1519	87.90
f1520	f1521	79.90
f1522	f1523	87.70
f1524	f1525	78.40
f1526	f1527	84.30
f1528	f1529	86.80
f1530	f1531	88.80
f1532	f1533	86.70
f1534	f1535	67.20
f1536	f1537	61.10
f1538	f1539	84.80
f1540	f1541	93.70
f1542	f1543	92.20
f1544	f1545	97.30
f1546	f1547	75.80
f1548	f1549	77.00
f1550	f1551	80.20
f1552	f1553	76.50
f1554	f1555	78.50
f1556	f1557	97.30
f1558	f1559	96.30
f1560	f1561	97.40
f1562	f1563	76.70
f1564	f1565	88.90
f1566	f1567	80.40
f1568	f1569	92.00
f1570	f1571	100.00
f1572	f1573	70.80
f1574	f1575	76.10
f1576	f1577	76.90
f1578	f1579	84.80
f1580	f1581	84.80
f1582	f1583	76.90
f1584	f1585	76.10
f1586	f1587	70.80
f1588	f1589	78.60
f1590	f1591	78.60
f1592	f1593	77.30
f1594	f1595	76.00
f1596	f1597	99.90
f1598	f1599	67.30
f1600	f1601	67.30
f1602	f1603	99.90
f1604	f1605	85.20
f1606	f1607	93.50
f1608	f1609	91.40
f1610	f1611	89.60
f1612	f1613	94.40
f1614	f1615	94.70
f1616	f1617	97.20
f1618	f1619	76.60
f1620	f1621	75.50
f1622	f1623	81.20
f1624	f1625	80.20
f1626	f1627	97.40
f1628	f1629	94.40
f1630	f1631	94.70
f1632	f1633	91.40
f1634	f1635	89.60
f1636	f1637	91.40
f1638	f1639	79.80
f1640	f1641	91.60
f1642	f1643	89.10
f1644	f1645	90.20
f1646	f1647	91.40
f1648	f1649	91.40
f1650	f1651	89.60
f1652	f1653	94.40
f1654	f1655	94.70
f1656	f1657	97.40
f1658	f1659	80.20
f1660	f1661	75.50
f1662	f1663	76.70
f1664	f1665	97.20
f1666	f1667	94.40
f1668	f1669	94.70
f1670	f1671	91.40
f1672	f1673	89.60
f1674	f1675	90.00
f1676	f1677	84.60
f1678	f1679	86.20
f1680	f1681	86.40
f1682	f1683	85.90
f1684	f1685	80.80
f1686	f1687	67.70
f1688	f1689	68.20
f1690	f1691	87.10
f1692	f1693	90.10
f1694	f1695	89.10
f1696	f1697	85.60
f1698	f1699	79.80
f1700	f1701	84.80
f1702	f1703	83.90
f1704	f1705	87.00
f1706	f1707	90.20
f1708	f1709	86.10
f1710	f1711	84.90
f1712	f1713	86.10
f1714	f1715	88.10
f1716	f1717	84.70
f1718	f1719	81.40
f1720	f1721	86.00
f1722	f1723	88.10
f1724	f1725	92.70
f1726	f1727	86.30
f1728	f1729	91.50
f1730	f1731	92.90
f1732	f1733	73.60
f1734	f1735	79.10
f1736	f1737	79.00
f1738	f1739	92.90
f1740	f1741	86.30
f1742	f1743	91.50
f1744	f1745	92.50
f1746	f1747	81.10
f1748	f1749	79.90
f1750	f1751	92.70
f1752	f1753	86.30
f1754	f1755	91.50
f1756	f1757	92.90
f1758	f1759	79.00
f1760	f1761	91.40
f1762	f1763	79.10
f1764	f1765	73.60
f1766	f1767	92.90
f1768	f1769	86.30
f1770	f1771	91.50
f1772	f1773	86.20
f1774	f1775	86.70
f1776	f1777	80.40
f1778	f1779	81.00
f1780	f1781	83.20
f1782	f1783	85.50
f1784	f1785	74.50
f1786	f1787	80.30
f1788	f1789	81.50
f1790	f1791	87.90
f1792	f1793	84.60
f1794	f1795	84.40
f1796	f1797	73.30
f1798	f1799	83.80
f1800	f1801	82.40
f1802	f1803	83.40
f1804	f1805	81.10
f1806	f1807	78.40
f1808	f1809	76.80
f1810	f1811	96.90
f1812	f1813	89.60
f1814	f1815	97.10
f1816	f1817	96.80
f1818	f1819	100.00
f1820	f1821	86.10
f1822	f1823	92.30
f1824	f1825	87.30
f1826	f1827	82.90
f1828	f1829	83.40
f1830	f1831	91.60
f1832	f1833	94.80
f1834	f1835	92.50
f1836	f1837	83.40
f1838	f1839	97.10
f1840	f1841	100.00
f1842	f1843	96.80
f1844	f1845	96.80
f1846	f1847	89.60
f1848	f1849	92.20
f1850	f1851	94.90
f1852	f1853	64.60
f1854	f1855	89.10
f1856	f1857	87.40
f1858	f1859	83.30
f1860	f1861	94.70
f1862	f1863	86.60
f1864	f1865	96.90
f1866	f1867	89.60
f1868	f1869	97.10
f1870	f1871	96.80
f1872	f1873	100.00
f1874	f1875	83.40
f1876	f1877	92.50
f1878	f1879	94.80
f1880	f1881	96.80
f1882	f1883	90.90
f1884	f1885	83.40
f1886	f1887	82.90
f1888	f1889	87.30
f1890	f1891	97.10
f1892	f1893	86.10
f1894	f1895	92.30
f1896	f1897	100.00
f1898	f1899	96.80
f1900	f1901	94.30
f1902	f1903	89.60
f1904	f1905	92.30
f1906	f1907	76.20
f1908	f1909	94.50
f1910	f1911	82.10
f1912	f1913	89.10
f1914	f1915	60.20
f1916	f1917	61.70
f1918	f1919	93.10
f1920	f1921	97.40
f1922	f1923	91.00
f1924	f1925	69.40
f1926	f1927	75.20
f1928	f1929	97.40
f1930	f1931	89.30
f1932	f1933	87.40
f1934	f1935	86.70
f1936	f1937	76.40
f1938	f1939	89.40
f1940	f1941	78.70
f1942	f1943	61.00
f1944	f1945	61.60
f1946	f1947	89.40
f1948	f1949	86.70
f1950	f1951	95.70
f1952	f1953	86.00
f1954	f1955	92.40
f1956	f1957	97.40
f1958	f1959	95.10
f1960	f1961	79.80
f1962	f1963	76.20
f1964	f1965	81.10
f1966	f1967	84.50
f1968	f1969	88.10
f1970	f1971	87.80
f1972	f1973	81.70
f1974	f1975	97.40
f1976	f1977	92.40
f1978	f1979	95.70
f1980	f1981	86.00
f1982	f1983	89.10
f1984	f1985	95.70
f1986	f1987	86.00
f1988	f1989	92.40
f1990	f1991	97.40
f1992	f1993	81.70
f1994	f1995	87.80
f1996	f1997	88.10
f1998	f1999	90.80
f2000	f2001	81.10
f2002	f2003	76.20
f2004	f2005	79.80
f2006	f2007	97.40
f2008	f2009	95.10
f2010	f2011	92.40
f2012	f2013	90.40
f2014	f2015	86.00
f2016	f2017	74.00
f2018	f2019	89.10
f2020	f2021	91.80
f2022	f2023	96.40
f2024	f2025	88.00
f2026	f2027	93.00
f2028	f2029	98.10
f2030	f2031	98.40
f2032	f2033	78.10
f2034	f2035	94.90
f2036	f2037	80.60
f2038	f2039	85.10
f2040	f2041	79.50
f2042	f2043	82.80
f2044	f2045	89.30
f2046	f2047	91.40
f2048	f2049	91.20
f2050	f2051	82.80
f2052	f2053	98.10
f2054	f2055	80.60
f2056	f2057	96.80
f2058	f2059	93.00
f2060	f2061	95.90
f2062	f2063	88.00
f2064	f2065	87.90
f2066	f2067	94.00
f2068	f2069	70.80
f2070	f2071	89.10
f2072	f2073	86.20
f2074	f2075	96.40
f2076	f2077	88.00
f2078	f2079	93.00
f2080	f2081	98.10
f2082	f2083	96.80
f2084	f2085	80.60
f2086	f2087	82.80
f2088	f2089	91.20
f2090	f2091	91.40
f2092	f2093	94.20
f2094	f2095	82.80
f2096	f2097	79.60
f2098	f2099	85.10
f2100	f2101	98.10
f2102	f2103	80.60
f2104	f2105	94.90
f2106	f2107	78.10
f2108	f2109	98.40
f2110	f2111	93.00
f2112	f2113	92.50
f2114	f2115	88.00
f2116	f2117	90.60
f2118	f2119	75.70
f2120	f2121	71.40
f2122	f2123	88.60
f2124	f2125	92.70
f2126	f2127	89.10
f2128	f2129	87.80
f2130	f2131	61.00
f2132	f2133	61.70
f2134	f2135	92.40
f2136	f2137	89.40
f2138	f2139	94.10
f2140	f2141	92.20
f2142	f2143	97.90
f2144	f2145	92.40
f2146	f2147	74.00
f2148	f2149	78.20
f2150	f2151	71.70
f2152	f2153	73.10
f2154	f2155	92.40
f2156	f2157	97.90
f2158	f2159	96.00
f2160	f2161	95.20
f2162	f2163	88.20
f2164	f2165	75.50
f2166	f2167	80.00
f2168	f2169	89.90
f2170	f2171	68.40
f2172	f2173	84.10
f2174	f2175	86.90
f2176	f2177	91.30
f2178	f2179	83.30
f2180	f2181	86.10
f2182	f2183	89.40
f2184	f2185	85.20
f2186	f2187	85.50
f2188	f2189	87.40
f2190	f2191	89.20
f2192	f2193	81.20
f2194	f2195	88.20
f2196	f2197	75.50
f2198	f2199	95.20
f2200	f2201	96.00
f2202	f2203	97.90
f2204	f2205	92.40
f2206	f2207	73.10
f2208	f2209	71.70
f2210	f2211	78.50
f2212	f2213	81.70
f2214	f2215	78.20
f2216	f2217	74.00
f2218	f2219	92.40
f2220	f2221	97.90
f2222	f2223	92.20
f2224	f2225	89.60
f2226	f2227	82.90
f2228	f2229	87.00
f2230	f2231	78.70
f2232	f2233	84.20
f2234	f2235	86.10
f2236	f2237	83.40
f2238	f2239	84.90
f2240	f2241	85.80
f2242	f2243	87.50
f2244	f2245	100.00
f2246	f2247	95.50
f2248	f2249	95.50
f2250	f2251	78.60
f2252	f2253	78.60
f2254	f2255	97.00
f2256	f2257	65.70
f2258	f2259	65.30
f2260	f2261	68.10
f2262	f2263	65.70
f2264	f2265	100.00
f2266	f2267	100.00
f2268	f2269	100.00
f2270	f2271	100.00
f2272	f2273	100.00
f2274	f2275	100.00
f2276	f2277	100.00
f2278	f2279	100.00
f2280	f2281	100.00
f2282	f2283	100.00
f2284	f2285	65.30
f2286	f2287	65.30
f2288	f2289	100.00
f2290	f2291	100.00
f2292	f2293	100.00
f2294	f2295	65.70
f2296	f2297	83.30
f2298	f2299	89.10
f2300	f2301	97.00
f2302	f2303	78.60
f2304	f2305	78.60
f2306	f2307	95.50
f2308	f2309	95.50
f2310	f2311	77.90
f2312	f2313	69.20
f2314	f2315	69.20
f2316	f2317	77.90
f2318	f2319	85.90
f2320	f2321	87.90
f2322	f2323	85.90
f2324	f2325	87.90
f2326	f2327	89.10
f2328	f2329	61.30
f2330	f2331	61.30
f2332	f2333	100.00
f2334	f2335	95.50
f2336	f2337	95.50
f2338	f2339	78.60
f2340	f2341	78.60
f2342	f2343	97.00
f2344	f2345	89.10
f2346	f2347	65.70
f2348	f2349	65.30
f2350	f2351	68.10
f2352	f2353	65.70
f2354	f2355	100.00
f2356	f2357	100.00
f2358	f2359	100.00
f2360	f2361	100.00
f2362	f2363	100.00
f2364	f2365	100.00
f2366	f2367	100.00
f2368	f2369	89.90
f2370	f2371	80.80
f2372	f2373	100.00
f2374	f2375	100.00
f2376	f2377	100.00
f2378	f2379	100.00
f2380	f2381	65.30
f2382	f2383	65.30
f2384	f2385	100.00
f2386	f2387	100.00
f2388	f2389	100.00
f2390	f2391	65.70
f2392	f2393	83.30
f2394	f2395	97.00
f2396	f2397	78.60
f2398	f2399	78.60
f2400	f2401	95.50
f2402	f2403	95.50
f2404	f2405	89.10
f2406	f2407	85.30
f2408	f2409	84.20
